@relation bank-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last

@attribute age numeric
@attribute job_merged_values {admin._or_housemaid_or_management,blue-collar,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,retired_or_student_or_unknown}
@attribute marital_merged_values {divorced_or_single,married}
@attribute education_merged_values {primary_or_secondary_or_unknown,tertiary}
@attribute default_merged_values {no_or_yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact_merged_values {cellular_or_telephone,unknown}
@attribute day numeric
@attribute month_merged_values {apr_or_feb,aug_or_jan_or_jul_or_jun_or_nov,dec_or_mar_or_oct_or_sep,may}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {failure,other,success,unknown}
@attribute y {no,yes}

@data
27,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1128,yes,no,unknown,30,aug_or_jan_or_jul_or_jun_or_nov,88,4,-1,0,unknown,no
32,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,1831,yes,no,cellular_or_telephone,20,apr_or_feb,86,2,-1,0,unknown,no
35,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,450,yes,no,cellular_or_telephone,13,may,63,1,-1,0,unknown,no
28,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,cellular_or_telephone,5,may,335,2,281,8,failure,no
37,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,414,no,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,293,2,162,4,failure,no
57,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,1052,yes,no,unknown,13,may,227,4,-1,0,unknown,no
42,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
55,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,343,yes,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,276,3,-1,0,unknown,no
52,admin._or_housemaid_or_management,married,tertiary,no_or_yes,1944,yes,no,cellular_or_telephone,15,apr_or_feb,238,3,323,2,failure,no
26,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-32,yes,yes,cellular_or_telephone,31,aug_or_jan_or_jul_or_jun_or_nov,14,6,-1,0,unknown,no
52,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,1781,yes,no,unknown,19,may,144,2,-1,0,unknown,no
26,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,350,no,no,cellular_or_telephone,8,aug_or_jan_or_jul_or_jun_or_nov,367,1,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,2,yes,no,cellular_or_telephone,16,aug_or_jan_or_jul_or_jun_or_nov,132,1,-1,0,unknown,no
24,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,111,yes,yes,unknown,27,may,42,4,-1,0,unknown,no
37,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,168,yes,no,unknown,5,aug_or_jan_or_jul_or_jun_or_nov,227,1,-1,0,unknown,no
28,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,3,no,no,cellular_or_telephone,18,may,40,8,349,6,failure,no
30,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,102,yes,no,unknown,7,may,614,2,-1,0,unknown,no
33,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,unknown,15,may,270,1,-1,0,unknown,no
55,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,159,no,no,unknown,4,dec_or_mar_or_oct_or_sep,15,1,-1,0,unknown,no
33,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1134,yes,no,unknown,23,may,304,2,-1,0,unknown,no
42,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,352,yes,no,cellular_or_telephone,11,may,79,3,-1,0,unknown,no
37,admin._or_housemaid_or_management,married,tertiary,no_or_yes,865,yes,no,cellular_or_telephone,3,aug_or_jan_or_jul_or_jun_or_nov,101,1,-1,0,unknown,no
59,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
27,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,5,yes,no,unknown,19,may,205,3,-1,0,unknown,no
23,retired_or_student_or_unknown,married,tertiary,no_or_yes,-230,yes,no,cellular_or_telephone,18,may,259,2,-1,0,unknown,no
51,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,0,no,no,cellular_or_telephone,13,aug_or_jan_or_jul_or_jun_or_nov,60,2,-1,0,unknown,no
50,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,3924,yes,no,cellular_or_telephone,20,apr_or_feb,122,2,-1,0,unknown,no
43,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,764,yes,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,557,5,-1,0,unknown,no
37,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,511,yes,no,cellular_or_telephone,11,may,42,1,-1,0,unknown,no
34,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,4348,yes,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,373,8,-1,0,unknown,no
41,admin._or_housemaid_or_management,married,tertiary,no_or_yes,3016,yes,no,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,80,3,-1,0,unknown,no
26,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,279,no,no,cellular_or_telephone,7,may,239,3,-1,0,unknown,no
49,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,1405,no,no,unknown,8,aug_or_jan_or_jul_or_jun_or_nov,29,1,-1,0,unknown,no
29,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,908,yes,no,unknown,20,aug_or_jan_or_jul_or_jun_or_nov,1663,1,-1,0,unknown,yes
30,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,162,yes,no,unknown,20,may,186,4,-1,0,unknown,no
38,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,792,no,no,unknown,6,aug_or_jan_or_jul_or_jun_or_nov,430,1,-1,0,unknown,no
58,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,111,no,no,cellular_or_telephone,24,dec_or_mar_or_oct_or_sep,58,2,-1,0,unknown,no
34,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1281,no,no,cellular_or_telephone,25,aug_or_jan_or_jul_or_jun_or_nov,279,1,117,1,failure,no
53,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1012,yes,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,332,2,-1,0,unknown,no
50,admin._or_housemaid_or_management,married,tertiary,no_or_yes,2881,no,no,cellular_or_telephone,5,aug_or_jan_or_jul_or_jun_or_nov,510,2,2,5,other,no
30,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,445,yes,no,cellular_or_telephone,16,apr_or_feb,218,1,330,2,failure,no
40,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,643,yes,no,cellular_or_telephone,17,apr_or_feb,74,2,256,1,failure,no
57,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,254,no,no,cellular_or_telephone,8,dec_or_mar_or_oct_or_sep,676,1,-1,0,unknown,no
40,admin._or_housemaid_or_management,married,tertiary,no_or_yes,-1212,yes,no,cellular_or_telephone,15,may,1259,2,333,18,failure,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,2125,yes,yes,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,285,3,116,4,failure,no
53,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,629,yes,no,cellular_or_telephone,8,may,298,1,-1,0,unknown,no
48,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-202,yes,yes,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,225,4,-1,0,unknown,no
32,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,271,yes,no,cellular_or_telephone,13,may,80,2,268,2,other,no
34,admin._or_housemaid_or_management,married,tertiary,no_or_yes,703,yes,no,cellular_or_telephone,14,apr_or_feb,342,1,-1,0,unknown,yes
46,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-216,yes,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,404,3,-1,0,unknown,no
45,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,88,no,yes,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,332,1,-1,0,unknown,no
51,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,16,yes,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,158,1,-1,0,unknown,no
31,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,466,yes,no,cellular_or_telephone,14,may,164,1,-1,0,unknown,no
47,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,-75,yes,no,cellular_or_telephone,4,apr_or_feb,57,1,247,1,other,no
32,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,456,no,no,cellular_or_telephone,12,may,121,1,-1,0,unknown,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,77,yes,no,cellular_or_telephone,7,may,56,1,-1,0,unknown,no
37,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-244,no,no,unknown,3,aug_or_jan_or_jul_or_jun_or_nov,178,1,-1,0,unknown,no
27,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1209,no,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,283,1,-1,0,unknown,no
27,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,58,yes,no,cellular_or_telephone,7,may,113,1,337,2,other,no
50,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,421,no,no,cellular_or_telephone,20,aug_or_jan_or_jul_or_jun_or_nov,22,5,-1,0,unknown,no
31,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,112,yes,no,cellular_or_telephone,2,apr_or_feb,159,2,271,1,failure,no
40,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,13669,no,no,cellular_or_telephone,15,dec_or_mar_or_oct_or_sep,138,1,136,8,other,no
43,admin._or_housemaid_or_management,married,tertiary,no_or_yes,1429,yes,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,1015,1,198,2,other,yes
39,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,794,no,no,cellular_or_telephone,2,apr_or_feb,182,1,-1,0,unknown,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,1957,no,no,cellular_or_telephone,4,apr_or_feb,112,3,-1,0,unknown,no
48,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,454,yes,no,cellular_or_telephone,10,aug_or_jan_or_jul_or_jun_or_nov,114,1,-1,0,unknown,no
32,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,882,no,yes,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,80,8,-1,0,unknown,no
47,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,168,yes,no,cellular_or_telephone,30,aug_or_jan_or_jul_or_jun_or_nov,66,1,241,1,other,no
35,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,714,yes,no,cellular_or_telephone,26,aug_or_jan_or_jul_or_jun_or_nov,135,22,-1,0,unknown,no
42,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,0,no,no,cellular_or_telephone,7,dec_or_mar_or_oct_or_sep,99,1,-1,0,unknown,no
47,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1996,no,no,unknown,5,aug_or_jan_or_jul_or_jun_or_nov,761,2,-1,0,unknown,yes
59,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,163,no,no,cellular_or_telephone,24,aug_or_jan_or_jul_or_jun_or_nov,464,1,-1,0,unknown,no
38,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,3190,yes,no,unknown,20,aug_or_jan_or_jul_or_jun_or_nov,20,2,-1,0,unknown,no
50,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,1772,no,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,206,4,-1,0,unknown,no
27,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-151,no,no,cellular_or_telephone,8,aug_or_jan_or_jul_or_jun_or_nov,283,2,-1,0,unknown,no
55,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,16,no,no,unknown,20,aug_or_jan_or_jul_or_jun_or_nov,64,1,-1,0,unknown,no
39,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,7066,yes,no,cellular_or_telephone,15,may,667,3,357,3,other,yes
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,454,no,no,cellular_or_telephone,4,apr_or_feb,73,3,-1,0,unknown,no
37,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,4798,yes,no,unknown,20,may,156,2,-1,0,unknown,no
28,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-298,yes,no,unknown,3,aug_or_jan_or_jul_or_jun_or_nov,559,7,-1,0,unknown,no
42,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,439,no,no,cellular_or_telephone,20,aug_or_jan_or_jul_or_jun_or_nov,143,2,-1,0,unknown,no
40,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1927,yes,no,unknown,15,may,62,1,-1,0,unknown,no
59,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,671,yes,yes,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,219,2,259,5,failure,no
40,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,65,yes,no,cellular_or_telephone,15,may,15,3,-1,0,unknown,no
43,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,-932,yes,no,cellular_or_telephone,16,apr_or_feb,567,1,-1,0,unknown,no
38,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,4366,yes,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,188,2,-1,0,unknown,no
54,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,cellular_or_telephone,11,aug_or_jan_or_jul_or_jun_or_nov,159,2,-1,0,unknown,no
41,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,4900,yes,no,cellular_or_telephone,31,aug_or_jan_or_jul_or_jun_or_nov,121,2,-1,0,unknown,no
55,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,976,no,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,345,1,94,3,other,yes
33,admin._or_housemaid_or_management,married,tertiary,no_or_yes,148,no,no,unknown,20,may,717,1,-1,0,unknown,no
46,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,5,no,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,71,3,-1,0,unknown,no
36,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,-148,no,no,cellular_or_telephone,18,aug_or_jan_or_jul_or_jun_or_nov,144,2,-1,0,unknown,no
48,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,113,no,yes,cellular_or_telephone,22,aug_or_jan_or_jul_or_jun_or_nov,38,1,-1,0,unknown,no
42,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,-105,yes,no,cellular_or_telephone,28,aug_or_jan_or_jul_or_jun_or_nov,60,2,-1,0,unknown,no
46,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,624,no,no,cellular_or_telephone,17,dec_or_mar_or_oct_or_sep,336,2,183,2,success,yes
49,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,-1680,yes,yes,unknown,27,aug_or_jan_or_jul_or_jun_or_nov,92,4,-1,0,unknown,no
36,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,-461,no,no,cellular_or_telephone,11,may,254,2,353,1,failure,no
34,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,144,yes,yes,cellular_or_telephone,14,dec_or_mar_or_oct_or_sep,104,1,85,19,failure,no
51,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,4,yes,yes,cellular_or_telephone,20,apr_or_feb,74,5,-1,0,unknown,no
58,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,309,no,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,156,2,-1,0,unknown,no
48,admin._or_housemaid_or_management,married,tertiary,no_or_yes,866,no,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,146,2,-1,0,unknown,no
41,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,yes
49,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,489,yes,no,unknown,27,may,84,4,-1,0,unknown,no
43,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,8167,yes,no,unknown,19,may,114,2,-1,0,unknown,no
32,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,-255,no,yes,unknown,2,aug_or_jan_or_jul_or_jun_or_nov,957,3,-1,0,unknown,no
54,retired_or_student_or_unknown,married,primary_or_secondary_or_unknown,no_or_yes,3671,no,no,unknown,11,aug_or_jan_or_jul_or_jun_or_nov,67,3,-1,0,unknown,no
33,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,636,yes,no,cellular_or_telephone,9,aug_or_jan_or_jul_or_jun_or_nov,211,11,-1,0,unknown,no
35,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,141,yes,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,299,2,-1,0,unknown,no
56,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,150,yes,yes,cellular_or_telephone,11,may,102,6,349,1,failure,no
57,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
31,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,26965,no,no,cellular_or_telephone,21,apr_or_feb,654,2,-1,0,unknown,yes
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,716,yes,no,cellular_or_telephone,14,may,234,2,-1,0,unknown,no
29,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,2485,no,no,cellular_or_telephone,24,aug_or_jan_or_jul_or_jun_or_nov,48,6,-1,0,unknown,no
38,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,15030,yes,no,cellular_or_telephone,13,may,167,1,174,7,other,no
37,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,11303,no,no,cellular_or_telephone,26,may,500,2,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,595,no,no,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,22,2,-1,0,unknown,no
30,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,19358,no,no,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,258,2,-1,0,unknown,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,203,no,yes,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,177,1,-1,0,unknown,no
28,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,183,yes,yes,unknown,28,may,62,2,-1,0,unknown,no
26,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,255,no,no,cellular_or_telephone,30,apr_or_feb,457,1,80,1,success,yes
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,102,yes,no,cellular_or_telephone,17,apr_or_feb,460,2,345,2,failure,no
50,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,94,yes,no,cellular_or_telephone,22,aug_or_jan_or_jul_or_jun_or_nov,184,4,-1,0,unknown,no
45,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,58,yes,no,cellular_or_telephone,13,may,119,3,371,3,failure,no
48,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,606,no,no,cellular_or_telephone,5,dec_or_mar_or_oct_or_sep,77,6,-1,0,unknown,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,0,no,yes,cellular_or_telephone,23,aug_or_jan_or_jul_or_jun_or_nov,107,1,-1,0,unknown,no
60,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes
41,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,338,yes,no,unknown,14,may,87,1,-1,0,unknown,no
43,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,757,yes,no,unknown,9,may,315,4,-1,0,unknown,no
36,admin._or_housemaid_or_management,married,tertiary,no_or_yes,9269,yes,yes,cellular_or_telephone,19,aug_or_jan_or_jul_or_jun_or_nov,107,2,-1,0,unknown,no
40,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1206,no,yes,cellular_or_telephone,16,aug_or_jan_or_jul_or_jun_or_nov,201,5,-1,0,unknown,no
28,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,882,no,yes,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,94,1,205,2,failure,no
27,retired_or_student_or_unknown,divorced_or_single,tertiary,no_or_yes,5291,no,no,cellular_or_telephone,12,aug_or_jan_or_jul_or_jun_or_nov,192,2,92,2,failure,yes
49,admin._or_housemaid_or_management,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,61,yes,no,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,185,2,246,1,failure,no
37,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,0,yes,no,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,77,1,-1,0,unknown,no
31,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1407,yes,no,cellular_or_telephone,6,may,142,3,-1,0,unknown,no
31,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,25,no,no,cellular_or_telephone,2,apr_or_feb,381,1,-1,0,unknown,no
31,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,1354,yes,yes,cellular_or_telephone,17,aug_or_jan_or_jul_or_jun_or_nov,222,2,-1,0,unknown,no
35,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,793,yes,no,cellular_or_telephone,17,apr_or_feb,106,1,-1,0,unknown,no
51,blue-collar,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,10287,yes,no,unknown,29,may,117,1,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,5235,no,no,cellular_or_telephone,7,aug_or_jan_or_jul_or_jun_or_nov,67,3,-1,0,unknown,no
30,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,tertiary,no_or_yes,3,yes,no,cellular_or_telephone,6,may,45,2,169,2,failure,no
58,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,409,no,yes,cellular_or_telephone,14,aug_or_jan_or_jul_or_jun_or_nov,643,2,-1,0,unknown,no
34,admin._or_housemaid_or_management,married,tertiary,no_or_yes,35,yes,no,cellular_or_telephone,15,dec_or_mar_or_oct_or_sep,76,1,69,2,failure,no
45,admin._or_housemaid_or_management,married,tertiary,no_or_yes,-459,no,no,cellular_or_telephone,21,aug_or_jan_or_jul_or_jun_or_nov,508,6,-1,0,unknown,no
28,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,198,no,no,cellular_or_telephone,5,aug_or_jan_or_jul_or_jun_or_nov,128,2,-1,0,unknown,yes
31,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,99,yes,no,cellular_or_telephone,17,apr_or_feb,193,2,322,1,other,no
40,admin._or_housemaid_or_management,married,tertiary,no_or_yes,60,no,no,unknown,16,aug_or_jan_or_jul_or_jun_or_nov,172,6,-1,0,unknown,no
30,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,3485,no,no,cellular_or_telephone,2,apr_or_feb,142,2,-1,0,unknown,no
34,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,-139,yes,yes,unknown,27,may,492,2,-1,0,unknown,no
